,channelTitle,viewCount,likeCount,definition,commentCount,caption,subscribers,totalViews,totalVideos,avg polarity score,pushblishYear,durationSecs,tagCount,title length,description length,Label
110,3,36250,660,0,14,0,1710000,347648425,2320,0.3416294959,2019,249.0,140,25,674,1
111,3,47449,897,0,22,0,1710000,347648425,2320,0.3426443704,2019,413.0,142,44,690,1
112,3,39227,689,0,15,0,1710000,347648425,2320,0.3438403226,2019,290.0,112,38,785,1
113,3,41439,780,0,31,0,1710000,347648425,2320,0.3430169662,2019,279.0,131,24,728,1
114,3,44212,809,0,30,0,1710000,347648425,2320,0.3415275813,2019,349.0,172,39,651,1
115,3,47285,908,0,30,0,1710000,347648425,2320,0.3447811806,2019,415.0,186,26,831,1
116,3,51037,997,0,29,0,1710000,347648425,2320,0.3450453488,2019,293.0,150,29,689,1
117,3,43446,693,0,23,0,1710000,347648425,2320,0.3459933153,2019,302.0,171,28,622,1
118,3,48831,903,0,33,0,1710000,347648425,2320,0.3456304636,2019,634.0,130,30,918,1
119,3,49725,903,0,26,0,1710000,347648425,2320,0.3449932768,2020,375.0,195,29,646,1
120,3,70858,2152,0,101,0,1710000,347648425,2320,0.3504587616,2020,388.0,205,43,713,1
121,3,33814,678,0,26,0,1710000,347648425,2320,0.3495637973,2020,323.0,202,29,665,1
122,3,45921,1000,0,41,0,1710000,347648425,2320,0.3490419008,2020,301.0,203,29,635,1
123,3,107256,2371,0,113,0,1710000,347648425,2320,0.3473102087,2020,393.0,110,25,712,1
124,3,49655,816,0,40,0,1710000,347648425,2320,0.3470945556,2020,344.0,185,39,940,1
125,3,27890,508,0,30,0,1710000,347648425,2320,0.3477606027,2020,278.0,170,31,579,1
126,3,71311,844,0,29,0,1710000,347648425,2320,0.3456272432,2020,275.0,117,28,594,1
127,3,32474,614,0,26,0,1710000,347648425,2320,0.3455318717,2020,79.0,177,16,624,1
128,3,36768,658,0,12,0,1710000,347648425,2320,0.3455253454,2020,455.0,232,31,688,1
129,3,32314,589,0,15,0,1710000,347648425,2320,0.3460295359,2020,365.0,286,28,724,1
130,3,35763,788,0,42,0,1710000,347648425,2320,0.3454689315,2020,314.0,234,41,643,1
